Altium Designer Pick and Place Locations
C:\Users\jdado\AppData\Local\TempReleases\Snapshot\1\Assembly\Pick Place\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       05/03/26
Time:       17:17
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Center-X(mil) Center-Y(mil) Comment                  Description                                                                                                         Designator Footprint                     Layer    Rotation 
5000.000      2000.000      RMCF0603ZG0R00           "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R41        FP-RMCF0603-IPC_B             TopLayer 90       
5090.000      3355.000      RMCF0603ZG0R00           "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R13        FP-RMCF0603-IPC_B             TopLayer 270      
5086.221      3638.937      SMA-J-P-H-ST-EM1         "CONN SMA JACK STR 50OHM EDGE MNT"                                                                                  J5         FP-SMA-J-P-H-ST-EM1-MFG       TopLayer 180      
3605.000      2440.000      IHLP1616BZER4R7M11       "Fixed Inductors Commercial Low DCR Series SMT 4.7uH 1.7A 105mO 20%"                                                L5         FP-IHLP-1616BZ-FP_1_8545x-MFG TopLayer 270      
3265.000      2280.000      VJ0603A100KXAAC          ""                                                                                                                  C45        CAPC1608X92X38ML12T08         TopLayer 0        
3590.000      2140.000      C1608X5R1H105K080AB      "Multilayer Ceramic Capacitors 1µF ±10% 50V X5R SMD 0603"                                                           C43        FP-C1608-080-0_1-IPC_B        TopLayer 270      
4470.000      2295.000      CRGCQ0603J10K            "CRGCQ 0603 10K 5%"                                                                                                 R30        FP-CRGCQ0603-IPC_C            TopLayer 180      
3325.000      2835.000      150120SS75000            "Led, Red, 630 Nm, 1.9 V, 30 Ma, 60 Mcd Rohs Compliant: Yes"                                                        D1         WL-SMCW_1206_150120xx75000    TopLayer 270      
3303.583      2469.488      C2012X5R1E475K125AB      "Multilayer Ceramic Capacitors 4.7µF ±10% 25V X5R SMD 0805"                                                         C55        FP-C2012-125-0_2-MFG          TopLayer 180      
3285.000      2350.000      C0603C331J5GALTU         ""                                                                                                                  C44        CAPC1608X87X35NL15T15         TopLayer 0        
4467.602      3625.000      RMCF0603ZG0R00           "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R15        FP-RMCF0603-IPC_B             TopLayer 0        
3285.000      2660.000      GRM21BR60J107ME15K       "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 100uF, X5R, 15%, 20%, 6.3V"                          C70        FP-GRM21B-0_2-e0_2_0_7-IPC_B  TopLayer 90       
5182.602      2605.000      RMCF0603ZG0R00           "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R37        FP-RMCF0603-IPC_B             TopLayer 180      
5180.000      2675.000      RMCF0603ZG0R00           "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R45        FP-RMCF0603-IPC_B             TopLayer 0        
3932.992      2313.265      RMCF0603ZG0R00           "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R14        FP-RMCF0603-IPC_B             TopLayer 270      
3415.000      2495.000      RMCF0603ZG0R00           "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R60        FP-RMCF0603-IPC_B             TopLayer 270      
3370.000      2660.000      GRM21BR60J107ME15K       "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 100uF, X5R, 15%, 20%, 6.3V"                          C69        FP-GRM21B-0_2-e0_2_0_7-IPC_B  TopLayer 90       
3470.000      2660.000      GRM21BR60J107ME15K       "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 100uF, X5R, 15%, 20%, 6.3V"                          C68        FP-GRM21B-0_2-e0_2_0_7-IPC_B  TopLayer 90       
4000.000      2660.000      GRM21BR60J107ME15K       "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 100uF, X5R, 15%, 20%, 6.3V"                          C67        FP-GRM21B-0_2-e0_2_0_7-IPC_B  TopLayer 90       
3850.000      2660.000      GRM21BR60J107ME15K       "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 100uF, X5R, 15%, 20%, 6.3V"                          C66        FP-GRM21B-0_2-e0_2_0_7-IPC_B  TopLayer 90       
4155.000      2660.000      GRM21BR60J107ME15K       "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 100uF, X5R, 15%, 20%, 6.3V"                          C65        FP-GRM21B-0_2-e0_2_0_7-IPC_B  TopLayer 90       
4390.000      2512.511      GRM21BR60J107ME15K       "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 100uF, X5R, 15%, 20%, 6.3V"                          C64        FP-GRM21B-0_2-e0_2_0_7-IPC_B  TopLayer 270      
3555.000      2660.000      GRM21BR60J107ME15K       "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 100uF, X5R, 15%, 20%, 6.3V"                          C63        FP-GRM21B-0_2-e0_2_0_7-IPC_B  TopLayer 90       
3825.000      2480.000      GRM21BR60J107ME15K       "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 100uF, X5R, 15%, 20%, 6.3V"                          C62        FP-GRM21B-0_2-e0_2_0_7-IPC_B  TopLayer 270      
3735.000      2482.511      GRM21BR60J107ME15K       "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 100uF, X5R, 15%, 20%, 6.3V"                          C61        FP-GRM21B-0_2-e0_2_0_7-IPC_B  TopLayer 270      
4815.000      2925.000      RMCF0603ZG0R00           "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R59        FP-RMCF0603-IPC_B             TopLayer 0        
4850.079      3272.087      RMCF0603ZG0R00           "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R58        FP-RMCF0603-IPC_B             TopLayer 0        
4495.000      2760.000      HSMG-C150                "LED GREEN DIFFUSED 1206 SMD"                                                                                       D2         FP-HSMG-C150-MFG              TopLayer 270      
3385.000      3435.000      452406020024             "Ws-slsv_smt Mini Slide Switch Sa"                                                                                  SW1        452406020024                  TopLayer 180      
5400.000      2125.000      DNF                      "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R57        FP-RMCF0603-IPC_B             TopLayer 90       
4411.413      2654.168      CRCW0603220RFKEAHP       "RES Thick Film, 220O, 1%, 0.33W, 100ppm/°C, 0603"                                                                  R55        FP-CRCW0603-HPe3-IPC_A        TopLayer 270      
3240.000      2815.000      CRCW0603220RFKEAHP       "RES Thick Film, 220O, 1%, 0.33W, 100ppm/°C, 0603"                                                                  R50        FP-CRCW0603-HPe3-IPC_A        TopLayer 90       
3982.992      2166.339      CRCW060357K6FKEA         "RES Thick Film, 57.6kO, 1%, 0.1W, 100ppm/°C, 0603"                                                                 R5         FP-CRCW0603-e3-MFG            TopLayer 90       
5475.000      2110.000      TSW-102-08-G-S-RA        "0.025" SQ Post Header, Through-hole, Right Angle, -55 to 125 degC, 2.54 mm Pitch, 2-Pin, Male, RoHS"               P3         SMTC-TSW-102-08-X-S-RA        TopLayer 270      
5475.000      2365.000      TSW-102-08-G-S-RA        "0.025" SQ Post Header, Through-hole, Right Angle, -55 to 125 degC, 2.54 mm Pitch, 2-Pin, Male, RoHS"               P1         SMTC-TSW-102-08-X-S-RA        TopLayer 270      
5334.646      2305.000      CRCW08055K00FKTA         ""                                                                                                                  R32        RESC2013X50X30ML20T20         TopLayer 180      
5260.000      2125.000      DNF                      "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R31        FP-RMCF0603-IPC_B             TopLayer 90       
4930.000      2002.398      RMCF0603ZG0R00           "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R29        FP-RMCF0603-IPC_B             TopLayer 90       
5164.096      2235.391      RMCF0603ZG0R00           "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R25        FP-RMCF0603-IPC_B             TopLayer 270      
3425.787      2321.575      LTC3122EDE#PBF           "2.5 A Synchronous Step-Up DC/DC Converter with Output Disconnect, 12-pin SON (DE-UE-12), -40 to 125 degC, Pb-Free" U11        LT-DE-UE-12_V                 TopLayer 270      
3300.000      2178.934      CRGP0805F10K             "CRGP 0805 10K 1%"                                                                                                  R52        FP-CRGP0805-IPC_C             TopLayer 90       
3375.000      2149.488      RMCF0603ZG0R00           "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R48        FP-RMCF0603-IPC_B             TopLayer 90       
3200.000      2160.000      TFCR0805-10W-E-4222BT-1K "RES Thin Film,  42.2kO, 0.1%, 0.1W, 25ppm/°C, 0805"                                                                R49        FP-TFCR0805-IPC_A             TopLayer 270      
3670.000      3105.000      CRGCQ0603J10K            "CRGCQ 0603 10K 5%"                                                                                                 R24        FP-CRGCQ0603-IPC_C            TopLayer 0        
4195.000      2915.000      AC0805JR-0782RL          "RES SMD 82 OHM 5% 1/8W 0805"                                                                                       R23        FP-AC0805-MFG                 TopLayer 0        
4130.000      2800.000      DNF                      "100K 0.1W 1% 0603 (1608 Metric)  SMD"                                                                              R22        RESC0603(1608)_N              TopLayer 270      
4675.000      3162.602      RMCF0603ZG0R00           "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R10        FP-RMCF0603-IPC_B             TopLayer 270      
5275.000      2957.398      RMCF0603ZG0R00           "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R9         FP-RMCF0603-IPC_B             TopLayer 270      
3285.000      2405.000      CRCW060357K6FKEA         "RES Thick Film, 57.6kO, 1%, 0.1W, 100ppm/°C, 0603"                                                                 R39        FP-CRCW0603-e3-MFG            TopLayer 0        
3205.000      2385.000      CRCW060386K6FKEAHP       "RES Thick Film, 86.6kO, 1%, 0.33W, 100ppm/°C, 0603"                                                                R40        FP-CRCW0603-HPe3-MFG          TopLayer 270      
4610.079      2910.590      FCHP0402E50R0BBT1        "FCHP0402E50R0BBT1 SMD Chip Resistor, 50 Ohm, ± 0.1%, 1 W, 0402 [1005 Metric], Thin Film, High Frequency"           R47        FP-FC0402-MFG                 TopLayer 90       
4492.453      3305.000      MCU08050C5109FP500       "RES 1.05K OHM 0.5% 1/5W 0805"                                                                                      R38        FP-MCU0805-IPC_C              TopLayer 0        
3749.685      3245.000      CRGCQ0603J10K            "CRGCQ 0603 10K 5%"                                                                                                 R36        FP-CRGCQ0603-IPC_C            TopLayer 0        
3670.000      3165.000      CRGCQ0603J10K            "CRGCQ 0603 10K 5%"                                                                                                 R35        FP-CRGCQ0603-IPC_C            TopLayer 0        
4315.000      2898.661      AC0805JR-0782RL          "RES SMD 82 OHM 5% 1/8W 0805"                                                                                       R21        FP-AC0805-MFG                 TopLayer 270      
4070.000      2736.496      DNF                      "100K 0.1W 1% 0603 (1608 Metric)  SMD"                                                                              R20        RESC0603(1608)_N              TopLayer 270      
3770.000      2732.398      DNF                      "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R19        FP-RMCF0603-IPC_B             TopLayer 90       
4250.000      3030.000      RMCF0603ZG0R00           "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R16        FP-RMCF0603-IPC_B             TopLayer 270      
4610.079      3026.653      LQW21HN1R5J00L           "Wire Wound Ferrite type RF Inuctor 1.5uH ±5% 85mA 5.33O 0805 (2012)"                                               L4         FP-LQW21HN_00-MFG             TopLayer 90       
5025.079      3162.087      0805LS-152XJEC           "0805LS-152XJEC Coilcraft"                                                                                          L3         FP-LQW21HN_00-MFG             TopLayer 90       
4865.000      3065.000      PMA3-43-1W+              "Integrated Circuit"                                                                                                U9         QFN51P300X300X89-13N          TopLayer 0        
4980.079      3046.732      GRM1555C1HR40WA01D       ""                                                                                                                  C41        CAPC1005X55X25LL05T10         TopLayer 90       
5040.079      3062.087      GRM1555C1H102JA01D       "Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1000pF, C0G, 30ppm/°C, 5%, 50V"                      C40        FP-GRM155-0_05-IPC_B          TopLayer 0        
3495.000      2205.000      CC0805MKX5R8BB226        "CAP CER 22UF 25V X5R 0805"                                                                                         C35        FP-CC0805-0_2-1_45-IPC_C      TopLayer 0        
4750.079      3047.087      GRM1555C1HR40WA01D       ""                                                                                                                  C42        CAPC1005X55X25LL05T10         TopLayer 90       
4800.079      3192.087      GRM155R71H104KE14D       "Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"                          C37        FP-GRM155-0_05-IPC_B          TopLayer 0        
4690.079      3062.087      GRM1555C1H102JA01D       "Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1000pF, C0G, 30ppm/°C, 5%, 50V"                      C39        FP-GRM155-0_05-IPC_B          TopLayer 0        
4943.206      3197.087      GRM155R71H104KE14D       "Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"                          C36        FP-GRM155-0_05-IPC_B          TopLayer 0        
5008.206      3262.087      GRM1555C1H102JA01D       "Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1000pF, C0G, 30ppm/°C, 5%, 50V"                      C38        FP-GRM155-0_05-IPC_B          TopLayer 0        
3467.441      2120.000      C1608X5R1A106K080AC      "Multilayer Ceramic Capacitors 10µF ±10% 10V X5R SMD 0603"                                                          C18        FP-C1608-080-0_1-MFG          TopLayer 180      
5275.000      3270.000      RMCF0603ZG0R00           "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R17        FP-RMCF0603-IPC_B             TopLayer 270      
3700.000      2732.398      DNF                      "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R18        FP-RMCF0603-IPC_B             TopLayer 90       
4488.819      3442.402      TPS22810TDBVRQ1          "IC PWR SWITCH N-CHAN 1:1 SOT23-6"                                                                                  U10        FP-DBV0006A-MFG               TopLayer 0        
4055.000      3445.000      TPS22810TDBVRQ1          "IC PWR SWITCH N-CHAN 1:1 SOT23-6"                                                                                  U3         FP-DBV0006A-MFG               TopLayer 180      
4605.000      3380.000      C0603C101K4GAC7867       "CAP CER 100PF 16V NP0 0603"                                                                                        C48        FP-C0603C-CF-MFG              TopLayer 90       
4345.000      3458.622      C0603C106M8PACTU         "CAP CER 10UF 10V X5R 0603"                                                                                         C47        FP-C0603C106M8PACTU-MFG       TopLayer 90       
3935.000      3460.000      C0603C101K4GAC7867       "CAP CER 100PF 16V NP0 0603"                                                                                        C12        FP-C0603C-CF-MFG              TopLayer 90       
4185.000      3430.000      C0603C106M8PACTU         "CAP CER 10UF 10V X5R 0603"                                                                                         C11        FP-C0603C106M8PACTU-MFG       TopLayer 270      
4470.000      2250.000      CRGCQ0603J10K            "CRGCQ 0603 10K 5%"                                                                                                 R28        FP-CRGCQ0603-IPC_C            TopLayer 180      
4470.315      2200.000      CRGCQ0603J10K            "CRGCQ 0603 10K 5%"                                                                                                 R27        FP-CRGCQ0603-IPC_C            TopLayer 180      
4854.096      2720.391      C1608X5R1H105K080AB      "Multilayer Ceramic Capacitors 1µF ±10% 50V X5R SMD 0603"                                                           C31        FP-C1608-080-0_1-IPC_B        TopLayer 90       
4994.096      2730.391      VJ0603Y104KXJAP          ""                                                                                                                  C30        CAPC1608X92X38NL15T08         TopLayer 270      
4929.096      2730.391      C1608X5R1A106K080AC      "Multilayer Ceramic Capacitors 10µF ±10% 10V X5R SMD 0603"                                                          C29        FP-C1608-080-0_1-MFG          TopLayer 270      
4775.000      2712.511      GRM21BR60J107ME15K       "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 100uF, X5R, 15%, 20%, 6.3V"                          C28        FP-GRM21B-0_2-e0_2_0_7-IPC_B  TopLayer 90       
5225.000      2360.000      06035C472KAZ2A           ""                                                                                                                  C24        CAPC1608X90X35LL15T15         TopLayer 90       
4580.000      2040.000      C1608X5R1H105K080AB      "Multilayer Ceramic Capacitors 1µF ±10% 50V X5R SMD 0603"                                                           C26        FP-C1608-080-0_1-IPC_B        TopLayer 180      
5060.000      2719.782      C1608X5R1H105K080AB      "Multilayer Ceramic Capacitors 1µF ±10% 50V X5R SMD 0603"                                                           C25        FP-C1608-080-0_1-IPC_B        TopLayer 90       
4689.783      1995.000      C1608X5R1H105K080AB      "Multilayer Ceramic Capacitors 1µF ±10% 50V X5R SMD 0603"                                                           C22        FP-C1608-080-0_1-IPC_B        TopLayer 180      
4810.000      1985.000      VJ0603Y104KXJAP          ""                                                                                                                  C21        CAPC1608X92X38NL15T08         TopLayer 270      
4145.000      3077.441      C1608X5R1A106K080AC      "Multilayer Ceramic Capacitors 10µF ±10% 10V X5R SMD 0603"                                                          C17        FP-C1608-080-0_1-MFG          TopLayer 270      
3185.000      2975.000      C1608X5R1A106K080AC      "Multilayer Ceramic Capacitors 10µF ±10% 10V X5R SMD 0603"                                                          C3         FP-C1608-080-0_1-MFG          TopLayer 90       
4530.000      3090.000      VJ0603Y183KXAAC          ""                                                                                                                  C33        CAPC1608X92X38ML15T08         TopLayer 270      
4490.000      2095.000      CRGCQ0603J10K            "CRGCQ 0603 10K 5%"                                                                                                 R26        FP-CRGCQ0603-IPC_C            TopLayer 270      
3170.000      3265.000      VJ0603Y104KXJAP          ""                                                                                                                  C2         CAPC1608X92X38NL15T08         TopLayer 270      
3035.000      3085.000      613010143121             ""                                                                                                                  J2         613010143121                  TopLayer 270      
5406.610      2990.000      MLZ2012M1R0HTD25         "Shielded Multilayer Inductor 1uH ±20% 800mA 130mO AEC-Q200 SMD 0805"                                               L14        FP-MLZ2012-1_25-IPC_C         TopLayer 0        
4415.000      3095.000      TQP369184                "DC  6 GHz Gain Block"                                                                                              U7         SOT65P210X110-6N              TopLayer 0        
4843.308      2340.391      ADS1299-4PAG             "Low-Noise, 4-Channel, 24-Bit Analog-to-Digital Converter for Biopotential Measurements"                            U6         QFP50P1200X1200X120-64N       TopLayer 180      
4289.012      2667.987      LD39200PU33R             "IC REG LINEAR 3.3V 2A 6DFN"                                                                                        U5         FP-DFN6-7946637-MFG           TopLayer 270      
3910.000      3015.000      AD9850BRSZ-REEL          "CMOS, 125 MHz Complete DDS Synthesizer, 10-Bit, Parallel, Serial, RS-28, 1500 Reel, Pb-Free"                       U4         ADI-RS-28_N                   TopLayer 0        
5337.232      2413.767      CRCW08055K00FKTA         ""                                                                                                                  R33        RESC2013X50X30ML20T20         TopLayer 180      
3745.000      3423.110      TC33X-2-103E             "Trimming Potentiometer, 10000 Ohm, -40 to 100 degC, 3-Pin SMD, RoHS, Tape and Reel"                                R34        BOUR-TC33X-2_V                TopLayer 90       
5405.000      3240.000      MLZ2012M1R0HTD25         "Shielded Multilayer Inductor 1uH ±20% 800mA 130mO AEC-Q200 SMD 0805"                                               L17        FP-MLZ2012-1_25-IPC_C         TopLayer 180      
5380.000      3115.000      MLZ2012M1R0HTD25         "Shielded Multilayer Inductor 1uH ±20% 800mA 130mO AEC-Q200 SMD 0805"                                               L16        FP-MLZ2012-1_25-IPC_C         TopLayer 270      
3560.000      1933.505      613010143121             ""                                                                                                                  J8         613010143121                  TopLayer 0        
4253.779      3638.937      SMA-J-P-H-ST-EM1         "CONN SMA JACK STR 50OHM EDGE MNT"                                                                                  J7         FP-SMA-J-P-H-ST-EM1-MFG       TopLayer 180      
4681.221      3638.937      SMA-J-P-H-ST-EM1         "CONN SMA JACK STR 50OHM EDGE MNT"                                                                                  J4         FP-SMA-J-P-H-ST-EM1-MFG       TopLayer 180      
5446.063      3570.000      SMA-J-P-H-ST-EM1         "CONN SMA JACK STR 50OHM EDGE MNT"                                                                                  J6         FP-SMA-J-P-H-ST-EM1-MFG       TopLayer 90       
5443.937      2658.780      SMA-J-P-H-ST-EM1         "CONN SMA JACK STR 50OHM EDGE MNT"                                                                                  J3         FP-SMA-J-P-H-ST-EM1-MFG       TopLayer 90       
3575.000      3665.000      613010143121             ""                                                                                                                  J1         613010143121                  TopLayer 180      
4695.000      2710.000      C1608X5R1H105K080AB      "Multilayer Ceramic Capacitors 1µF ±10% 50V X5R SMD 0603"                                                           C27        FP-C1608-080-0_1-IPC_B        TopLayer 90       
4090.079      2280.079      LTC3122EDE#PBF           "2.5 A Synchronous Step-Up DC/DC Converter with Output Disconnect, 12-pin SON (DE-UE-12), -40 to 125 degC, Pb-Free" U2         LT-DE-UE-12_V                 TopLayer 0        
3550.000      2890.000      830207044109             "830207044109 WE-SPXO Crystal Oscillator"                                                                           Y1         WE-SPXO_CFPS-39               TopLayer 0        
4270.094      2180.866      RN73H1JTTD1113D25        "RES 111K OHM 0.5% 1/10W 0603"                                                                                      R3         FP-CRCW0603-e3-IPC_A          TopLayer 0        
4345.591      3004.409      VJ0603Y183KXAAC          ""                                                                                                                  C34        CAPC1608X92X38ML15T08         TopLayer 0        
4224.567      2345.866      VJ0603Y104KXJAP          ""                                                                                                                  C5         CAPC1608X92X38NL15T08         TopLayer 0        
4217.410      2425.000      CC0805MKX5R8BB226        "CAP CER 22UF 25V X5R 0805"                                                                                         C4         FP-CC0805-0_2-1_45-IPC_C      TopLayer 180      
4375.000      3270.000      VJ0603Y183KXAAC          ""                                                                                                                  C32        CAPC1608X92X38ML15T08         TopLayer 90       
4270.000      2770.000      C1608X5R1A106K080AC      "Multilayer Ceramic Capacitors 10µF ±10% 10V X5R SMD 0603"                                                          C20        FP-C1608-080-0_1-MFG          TopLayer 0        
4480.000      2580.000      C1608X5R1H105K080AB      "Multilayer Ceramic Capacitors 1µF ±10% 50V X5R SMD 0603"                                                           C19        FP-C1608-080-0_1-IPC_B        TopLayer 90       
3566.575      2285.000      VJ0603Y104KXJAP          ""                                                                                                                  C16        CAPC1608X92X38NL15T08         TopLayer 0        
4170.000      3220.000      VJ0603Y104KXJAP          ""                                                                                                                  C15        CAPC1608X92X38NL15T08         TopLayer 0        
4170.000      3160.000      VJ0603Y104KXJAP          ""                                                                                                                  C14        CAPC1608X92X38NL15T08         TopLayer 0        
4470.000      3555.000      DNF                      "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R11        FP-RMCF0603-IPC_B             TopLayer 180      
4025.000      3335.000      DNF                      "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R12        FP-RMCF0603-IPC_B             TopLayer 0        
5020.000      3355.000      RMCF0603ZG0R00           "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R8         FP-RMCF0603-IPC_B             TopLayer 90       
4235.000      2090.000      AC0603FR-1311K3L         "RES 11.3KO 1.00% 0.1W 0603"                                                                                        R6         FP-AC0603-IPC_C               TopLayer 90       
4147.992      2031.339      CRCW060386K6FKEAHP       "RES Thick Film, 86.6kO, 1%, 0.33W, 100ppm/°C, 0603"                                                                R7         FP-CRCW0603-HPe3-MFG          TopLayer 90       
4252.992      2270.866      RMCF0603ZG0R00           "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R4         FP-RMCF0603-IPC_B             TopLayer 180      
3180.000      3132.441      ESR03EZPF3301            "3.3kO ±1% 0.25W 0603 Anti-Surge Chip Resistor AEC-Q200"                                                            R2         FP-ESR03-IPC_A                TopLayer 90       
5210.000      3110.000      MABAES0060               "BALUN 300KHZ-200MHZ 1:1 6SMD"                                                                                      L15        FP-MABAES0060-MFG             TopLayer 0        
4455.000      3210.000      LQM18NNR82K00D           "Multilayer Type Inductor for General Circuits, 0603 (1608), 820nH, 10%, 2.1O, 35mA"                                L2         FP-LQM18NN_00-IPC_B           TopLayer 90       
3986.339      2470.866      IHLP1616BZER4R7M11       "Fixed Inductors Commercial Low DCR Series SMT 4.7uH 1.7A 105mO 20%"                                                L1         FP-IHLP-1616BZ-FP_1_8545x-MFG TopLayer 0        
3925.000      2725.000      VJ0603Y104KXJAP          ""                                                                                                                  C13        CAPC1608X92X38NL15T08         TopLayer 90       
3120.000      2975.000      C1608X5R1A106K080AC      "Multilayer Ceramic Capacitors 10µF ±10% 10V X5R SMD 0603"                                                          C1         FP-C1608-080-0_1-MFG          TopLayer 90       
3917.992      2162.284      C2012X5R1E475K125AB      "Multilayer Ceramic Capacitors 4.7µF ±10% 25V X5R SMD 0805"                                                         C10        FP-C2012-125-0_2-MFG          TopLayer 270      
4075.000      2130.000      VJ0603A100KXAAC          ""                                                                                                                  C9         CAPC1608X92X38ML12T08         TopLayer 90       
4147.992      2140.866      C0603C331J5GALTU         ""                                                                                                                  C8         CAPC1608X87X35NL15T15         TopLayer 90       
4305.000      2370.000      C1608X5R1H105K080AB      "Multilayer Ceramic Capacitors 1µF ±10% 50V X5R SMD 0603"                                                           C7         FP-C1608-080-0_1-IPC_B        TopLayer 90       
4355.000      2270.000      C1608X5R1A106K080AC      "Multilayer Ceramic Capacitors 10µF ±10% 10V X5R SMD 0603"                                                          C6         FP-C1608-080-0_1-MFG          TopLayer 180      
